"","name","long","lat","Snippet","description"
"33","Indiana Dunes",-87.0524,41.6533,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-WhiteHouse_70-0"">List of national parks of the United States</a>"
"34","Isle Royale",-88.55,48.1,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-71"">List of national parks of the United States</a>"
"35","Joshua Tree",-115.9,33.79,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-73"">List of national parks of the United States</a>"
"36","Katmai",-155,58.5,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-dvjt_39-1"">List of national parks of the United States</a>"
"37","Kenai Fjords",-149.65,59.92,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-75"">List of national parks of the United States</a>"
"38","Kings Canyon",-118.55,36.8,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-76"">List of national parks of the United States</a>"
"39","Kobuk Valley",-159.28,67.55,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-sekc_81-0"">List of national parks of the United States</a>"
"40","Lake Clark",-153.42,60.97,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-82"">List of national parks of the United States</a>"
"41","Lassen Volcanic",-121.51,40.49,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-83"">List of national parks of the United States</a>"
"42","Mammoth Cave",-86.1,37.18,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-84"">List of national parks of the United States</a>"
"43","Mesa Verde",-108.49,37.18,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-87"">List of national parks of the United States</a>"
"44","Mount Rainier",-121.75,46.85,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-89"">List of national parks of the United States</a>"
"45","New River Gorge",-81.08,38.07,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-91"">List of national parks of the United States</a>"
"46","North Cascades",-121.2,48.7,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-93"">List of national parks of the United States</a>"
"47","Olympic",-123.5,47.97,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-94"">List of national parks of the United States</a>"
"48","Petrified Forest",-109.78,35.07,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-98"">List of national parks of the United States</a>"
"49","Pinnacles",-121.16,36.48,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-99"">List of national parks of the United States</a>"
"50","Redwood",-124,41.3,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-100"">List of national parks of the United States</a>"
"51","Rocky Mountain",-105.58,40.4,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-102"">List of national parks of the United States</a>"
"52","Saguaro",-110.5,32.25,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-104"">List of national parks of the United States</a>"
"53","Sequoia",-118.68,36.43,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-105"">List of national parks of the United States</a>"
"54","Shenandoah",-78.35,38.53,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-sekc_81-1"">List of national parks of the United States</a>"
"55","Theodore Roosevelt",-103.45,46.97,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-107"">List of national parks of the United States</a>"
"56","Virgin Islands",-64.73,18.33,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-108"">List of national parks of the United States</a>"
"57","Voyageurs",-92.88,48.5,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-109"">List of national parks of the United States</a>"
"58","White Sands",-106.17,32.78,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-110"">List of national parks of the United States</a>"
"59","Wind Cave",-103.48,43.57,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-112"">List of national parks of the United States</a>"
"60","Wrangell – St. Elias",-142,61,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-114"">List of national parks of the United States</a>"
"61","Yellowstone",-110.5,44.6,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-wsegb_54-1"">List of national parks of the United States</a>"
"62","Yosemite",-119.5,37.83,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-118"">List of national parks of the United States</a>"
"63","Zion",-113.05,37.3,NA,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States#cite_ref-120"">List of national parks of the United States</a>"
